feature,importance
human_col,0.10487817415345091
prev_down_1,0.1008406455842242
human_row,0.09315248913743229
monster_col,0.08143943508174227
wall_up,0.08070679585438385
monster_row,0.07987660876637809
prev_right_1,0.07137733331788652
wall_down,0.07006971020623538
wall_left,0.062325472358492666
prev_left_1,0.062050205946605014
wall_right,0.05580436225894044
prev_up_1,0.04071806921206185
prev_right_2,0.03297716847770354
prev_down_2,0.025859362667067037
prev_left_2,0.02101433103017419
prev_up_2,0.016909835947221768
